product_id,brand,category,sub_category,mrp
0,Nykaa Naturals,Fragrance,Compact,4833.0
1,Lakme,Personal Care,Serum,710.6
2,Nykaa Naturals,Personal Care,Eyeliner,3217.86
3,WOW Skin Science,Skincare,Sanitizer,4979.63
4,Lakme,Haircare,Soap,347.29
5,L'Oreal,Fragrance,Face Wash,875.61
6,Biotique,Haircare,Sunscreen,323.8
7,Nykaa Naturals,Skincare,Oil,1248.55
8,Biotique,Skincare,Soap,2763.43
9,Himalaya,Personal Care,Perfume,
10,,Haircare,Perfume,1291.44
11,Himalaya,,Handwash,1806.44
12,Himalaya,Fragrance,Hair Mask,242.41
13,Pond's,Skincare,Serum,182.68
14,Pond's,Haircare,Oil,65.23
15,The Body Shop,Personal Care,Deodorant,4930.62
16,Forest Essentials,Fragrance,Eyeliner,2634.91
17,L'Oreal,,Perfume,1901.45
18,Nykaa Naturals,Skincare,Mask,1217.95
19,Nykaa Naturals,Personal Care,Mascara,3119.66
20,Mamaearth,Fragrance,Eyeliner,2230.05
21,Nykaa Naturals,Fragrance,Hair Mask,4561.12
22,Nivea,Makeup,Soap,4973.44
23,Mamaearth,Makeup,Soap,255.02
24,The Body Shop,Fragrance,Serum,2977.85
25,Pond's,Personal Care,Foundation,1666.98
26,WOW Skin Science,Fragrance,Compact,4767.57
27,L'Oreal,Personal Care,Moisturizer,2655.11
28,WOW Skin Science,Makeup,Conditioner,619.75
29,Himalaya,Makeup,Lipstick,2741.4
30,Nivea,Skincare,Foundation,1336.43
31,Forest Essentials,Haircare,Face Wash,393.65
32,Lakme,Makeup,Mascara,4065.09
33,Nivea,Fragrance,Body Mist,3762.32
34,The Body Shop,Fragrance,Deodorant,2327.06
35,Himalaya,Fragrance,Perfume,1350.61
36,L'Oreal,Personal Care,,104.45
37,L'Oreal,Personal Care,Oil,4990.99
38,Mamaearth,Personal Care,Serum,396.39
39,Forest Essentials,Personal Care,Body Mist,4610.5
40,Maybelline,Haircare,Deodorant,469.97
41,Lakme,Fragrance,Foundation,3125.99
42,Maybelline,Haircare,Mascara,3323.43
43,Nykaa Naturals,Fragrance,Mask,3286.72
44,Maybelline,Personal Care,Eyeliner,3660.09
45,The Body Shop,Fragrance,Body Mist,663.42
46,Biotique,Haircare,Foundation,1985.44
47,Mamaearth,Haircare,Serum,4684.04
48,,,Compact,1812.81
49,Biotique,Haircare,Soap,3851.29
50,Forest Essentials,Haircare,Perfume,1730.17
51,,Fragrance,Eyeliner,1203.05
52,Biotique,Skincare,Lipstick,398.9
53,,Skincare,Face Wash,408.77
54,,Fragrance,Serum,
55,Maybelline,Skincare,Deodorant,2366.94
56,Lakme,Haircare,Handwash,877.47
57,Nykaa Naturals,Haircare,Shampoo,208.85
58,WOW Skin Science,Fragrance,,2880.89
59,Maybelline,Personal Care,Deodorant,765.73
60,Biotique,Skincare,Mask,2899.54
61,Nykaa Naturals,Haircare,Mascara,1800.32
62,Pond's,Personal Care,Perfume,403.07
63,Nykaa Naturals,Makeup,Sanitizer,1867.12
64,Nivea,Makeup,Body Lotion,2651.4
65,Biotique,Fragrance,Body Lotion,2517.33
66,The Body Shop,Makeup,Conditioner,3923.71
67,Himalaya,Skincare,Compact,3747.51
68,Nivea,Makeup,Soap,2307.07
69,Nykaa Naturals,Personal Care,Handwash,2314.61
70,Maybelline,Personal Care,Sanitizer,2054.89
71,Lakme,Skincare,Body Mist,3307.18
72,Nykaa Naturals,Makeup,Hair Mask,2854.11
73,Nivea,Personal Care,Sanitizer,4627.26
74,Maybelline,Skincare,Moisturizer,107.5
75,L'Oreal,Skincare,Conditioner,2357.88
76,Lakme,Fragrance,Conditioner,3887.92
77,Nivea,Personal Care,Moisturizer,4669.2
78,Nykaa Naturals,Skincare,Mascara,1243.73
79,Lakme,Personal Care,Serum,2868.46
80,Pond's,Haircare,Body Lotion,4288.06
81,Lakme,Makeup,Handwash,4150.08
82,Himalaya,,Face Wash,1685.8
83,The Body Shop,Fragrance,Sunscreen,755.69
84,Mamaearth,Personal Care,Foundation,2285.21
85,,Fragrance,Foundation,2156.61
86,Pond's,Haircare,,4694.52
87,Nykaa Naturals,Skincare,Soap,2492.41
88,The Body Shop,Skincare,Sanitizer,122.91
89,Forest Essentials,Makeup,Compact,3773.67
90,Himalaya,Fragrance,Serum,3527.51
91,L'Oreal,Personal Care,Deodorant,
92,Lakme,Fragrance,Serum,340.94
93,Maybelline,Haircare,Serum,3584.36
94,Nykaa Naturals,Makeup,Compact,1638.79
95,Forest Essentials,Personal Care,Body Lotion,2322.68
96,L'Oreal,Fragrance,Shampoo,4326.64
97,Maybelline,Haircare,Sanitizer,2507.84
98,Biotique,Skincare,,1426.44
99,The Body Shop,Haircare,Hair Mask,3258.9
100,Maybelline,Skincare,Soap,903.02
101,Nivea,,Body Lotion,3831.5
102,WOW Skin Science,Haircare,,3187.74
103,Maybelline,Personal Care,Serum,3266.24
104,Himalaya,Makeup,Moisturizer,3114.48
105,Nivea,Skincare,Body Lotion,4638.83
106,Nivea,Makeup,Moisturizer,2693.55
107,Mamaearth,Fragrance,Serum,403.19
108,Nykaa Naturals,Haircare,Lipstick,2581.26
109,Pond's,Haircare,Serum,4152.35
110,,Personal Care,Moisturizer,3507.57
111,The Body Shop,Skincare,Face Wash,507.77
112,Nykaa Naturals,Haircare,Soap,2473.49
113,Lakme,Fragrance,,2086.03
114,WOW Skin Science,Personal Care,Oil,3867.13
115,Nivea,Makeup,Deodorant,2750.49
116,The Body Shop,Skincare,Soap,3845.83
117,Nykaa Naturals,Haircare,Moisturizer,2935.94
118,Forest Essentials,Haircare,Conditioner,2696.5
119,Maybelline,Skincare,Sanitizer,3568.26
120,Mamaearth,Personal Care,Conditioner,986.8
121,Nykaa Naturals,,Oil,1414.33
122,Biotique,Skincare,Oil,2264.1
123,Nykaa Naturals,Personal Care,Hair Mask,1555.58
124,Forest Essentials,Makeup,Hair Mask,3507.65
125,Pond's,Fragrance,Foundation,1612.29
126,Mamaearth,Makeup,Perfume,
127,Mamaearth,Makeup,Serum,3598.89
128,The Body Shop,Skincare,Deodorant,4880.57
129,Mamaearth,Haircare,Deodorant,4382.81
130,,Haircare,Shampoo,4546.33
131,Biotique,Fragrance,Foundation,1070.06
132,Maybelline,Skincare,Oil,3196.95
133,Forest Essentials,Haircare,Moisturizer,1777.96
134,Maybelline,Fragrance,,999.95
